id,chapterno,part,question_number,question_text,question_type,option_a,option_b,option_c,option_d,correct_answer,explanation,created_at
02cde668-2aed-4c0d-842e-4d842a35aa93,1,1,1,Khalid _______ football when he broke his ankle.,,was playing,played,plays,has played,a,الجواب: was playing — Past Continuous: حدث مستمر انقطعه حدث آخر (was/were + فعل+ing),2026-02-27 15:18:31.895888+00
827ce690-6112-4dfc-87cf-054b8f3b1507,1,1,2,A thief took our clothes as we _______ in the pool.,,swam,were swimming,swim,have swum,b,الجواب: were swimming — Past Continuous: حدث مستمر انقطعه حدث آخر (was/were + فعل+ing),2026-02-27 15:18:31.895888+00
bf619855-9b50-4c0b-acbe-35a73bcc667a,1,1,3,She told us to be quiet as we _______ too much noise.,,made,make,were making,have made,c,الجواب: were making — Past Continuous: حدث مستمر انقطعه حدث آخر (was/were + فعل+ing),2026-02-27 15:18:31.895888+00
2491d8df-5194-4b46-81ed-65f094b30de1,1,1,4,I was thinking about you and then you _______ me.,,ringing,rings,have rung,rang,d,الجواب: rang — Past Simple: الحدث القاطع مع when يكون ماضياً بسيطاً,2026-02-27 15:18:31.895888+00
28d11e2d-8cb5-4721-94bc-5b843c8fb88e,1,1,5,I _______ my room when I found £30 under my bed.,,was cleaning,cleaned,clean,have cleaned,a,الجواب: was cleaning — Past Continuous: was/were + فعل+ing للحدث المستمر,2026-02-27 15:18:31.895888+00
05a36758-9f82-467e-be38-9c20aeadb509,1,1,6,She _______ home from school when she heard the police siren.,,walked,was walking,walks,has walked,b,الجواب: was walking — Past Continuous: حدث مستمر انقطعه حدث آخر (was/were + فعل+ing),2026-02-27 15:18:31.895888+00
b5555bb1-5e21-4979-a7f3-d1482efe515e,1,1,7,"While we _______, a thief took our clothes.",,swam,swim,were swimming,have swum,c,الجواب: were swimming — Past Continuous: حدث مستمر انقطعه حدث آخر (was/were + فعل+ing),2026-02-27 15:18:31.895888+00
62dbe872-d620-475c-972d-2042a6dc32d4,1,1,8,I _______ in the park when someone kicked a ball at me.,,sat,sit,have sat,was sitting,d,الجواب: was sitting — Past Continuous: حدث مستمر انقطعه حدث آخر (was/were + فعل+ing),2026-02-27 15:18:31.895888+00
7aa206e4-0e66-427a-97cd-da889b408e9e,1,1,9,My cousin hid my purse while I _______ (not/look).,,wasn't looking,didn't look,not looked,haven't looked,a,الجواب: wasn't looking — Past Continuous النفي: wasn't/weren't + فعل+ing,2026-02-27 15:18:31.895888+00
cf568a28-8093-455e-88bf-6a2971af61bf,1,1,10,We were speeding when we _______ the police car.,,were seeing,saw,see,have seen,b,الجواب: saw — Past Simple: الحدث القاطع مع when يكون ماضياً بسيطاً,2026-02-27 15:18:31.895888+00
4af2724b-cceb-44e0-9256-24dcdaa84c4a,1,1,11,"While my baggage _______ through the X-ray machine, I walked through the metal detector.",,went,goes,was going,has gone,c,الجواب: was going — Past Continuous: حدث مستمر انقطعه حدث آخر (was/were + فعل+ing),2026-02-27 15:18:31.895888+00
eb90104d-1de9-460b-964f-b9daf21da51e,1,1,12,They _______ in the desert when they saw a large snake.,,camped,camp,have camped,were camping,d,الجواب: were camping — Past Continuous: حدث مستمر انقطعه حدث آخر (was/were + فعل+ing),2026-02-27 15:18:31.895888+00
684c65ec-c334-4187-92a4-5887db25a102,1,1,13,"As he was running, he _______ down.",,fell,was falling,falls,has fallen,a,الجواب: fell — Past Simple: الحدث القاطع مع as يكون ماضياً بسيطاً,2026-02-27 15:18:31.895888+00
1dfe0eb2-3709-422b-b366-d2c8b7db6f34,1,1,14,My sister _______ my purse while I wasn't looking.,,was hiding,hid,hides,has hidden,b,الجواب: hid — Past Simple: الحدث القاطع مع while يكون ماضياً بسيطاً,2026-02-27 15:18:31.895888+00
864ae736-655a-480b-8d83-329c8a29cfbf,1,1,15,"While Salam was driving too fast, a boy _______ on the road.",,was running,runs,ran,has run,c,الجواب: ran — Past Simple: الحدث القاطع مع while يكون ماضياً بسيطاً,2026-02-27 15:18:31.895888+00
06ff6f4e-f6c2-4a77-af99-b5e976d27766,1,1,16,He twisted his ankle while he _______ football.,,played,plays,has played,was playing,d,الجواب: was playing — Past Continuous: حدث مستمر انقطعه حدث آخر (was/were + فعل+ing),2026-02-27 15:18:31.895888+00
26ab7c76-7664-4796-9130-d2bc00673aae,1,1,17,My phone rang while we _______ the movie.,,were watching,watched,watch,have watched,a,الجواب: were watching — Past Continuous: حدث مستمر انقطعه حدث آخر (was/were + فعل+ing),2026-02-27 15:18:31.895888+00
14e1c289-0eb8-4f9f-a8a5-048d07bded16,1,1,18,"As she was doing the washing up, she _______ the plate.",,was dropping,dropped,drops,has dropped,b,الجواب: dropped — Past Simple: الحدث القاطع مع as يكون ماضياً بسيطاً,2026-02-27 15:18:31.895888+00
2b952376-a8ae-4b5c-974f-f58055e05bd6,1,1,19,He _______ over as he was coming down the stairs.,,was falling,falls,fell,has fallen,c,الجواب: fell — Past Simple: الحدث القاطع مع as يكون ماضياً بسيطاً,2026-02-27 15:18:31.895888+00
