chapterno,stageno,blockno,questioncode,questiontext,question_requirement,optiona,optionb,optionc,optiond,correctanswer,repeatcount,isgolden,repeatcount_ministerial,explanation
1,0,1,ch1-p00-002,A thief took our clothes as we were (swim). (Correct),Correct,A thief took our clothes as we were swimming,swam,swims,is swimming,A thief took our clothes as we were swimming,1,True,3,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: A thief took our clothes as we were swimming"
1,0,2,ch1-p00-007,She (tell) us to be quiet as we (make) too much noise. (Put one verb in the past simple and one in the past contin(,Correct the verb,She told us to be quite as we were making too much noise,told,tells,is telling,She told us to be quite as we were making too much noise,1,True,3,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: She told us to be quite as we were making too much noise"
1,0,3,ch1-p00-022,"While Ali was having a shower, somebody (knock) at the Front door. (Correct the form of the verb)",Correct the form of the verb,knocks,is knocking,knocked,was knocking,knocked,1,True,3,"✅ الجواب الصحيح: knocked
📌 راجع قاعدة Correct the form of the verb في الكتاب المدرسي"
1,0,4,ch1-p00-024,I was eating breakfast and a bird (fly) into the kitchen. (Correct the form of the verb),Correct the form of the verb,flies,flew,is flying,was flying,flew,1,True,3,"✅ Past Simple = فعل انتهى في الماضي
📌 مع when = الحدث القاطع يكون Past Simple
🔑 الجواب: flew"
1,0,5,ch1-p00-035,WI was ice — skating and I ( fall ) over. (Correct the form of the verb),Correct the form of the verb,falls,fell,is falling,was falling,fell,1,True,3,"✅ Past Simple = فعل انتهى في الماضي
📌 مع when = الحدث القاطع يكون Past Simple
🔑 الجواب: fell"
1,0,6,ch1-p00-036,like those shoes. Can I (try \on\ them)? (Put in the correct order),Put in the correct order,like those shoes .Can I try them on? I,I like those shoes .Can I try them on?,I on? them try I .Can shoes those like,on? them try I .Can shoes those like I,I like those shoes .Can I try them on?,1,True,5,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: I like those shoes .Can I try them on?"
1,0,7,ch1-p00-037,"Stamp -collecting is a nice hobby, when did you (it-up-take)? [Put in the correct order]",Correct the verb,"Stamp -collecting is a nice hobby, when did you take it up?","Stamp -collecting is a nice hobby, when did you take it up? every day.","Stamp -collecting is a nice hobby, when did you take it up?s",had up?,"Stamp -collecting is a nice hobby, when did you take it up?",1,True,3,"✅ الجواب الصحيح: Stamp -collecting is a nice hobby, when did you take it up?
📌 راجع قاعدة Correct the verb في الكتاب المدرسي"
1,0,8,ch1-p00-039,I can't remember when I (tool( up / it). (Put in the correct order),Put in the correct order,took it up,it up took,took up it,up it took,took it up,1,True,3,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: took it up"
1,0,9,ch1-p00-045,This pencil is really old. You can / throw away / it. (Correct the form of the verb),Correct the form of the verb,This pencil is really old. You can throw it away every day.,This pencil is really old. You can throw it aways,had away,This pencil is really old. You can throw it away,This pencil is really old. You can throw it away,1,True,3,"✅ الجواب الصحيح: This pencil is really old. You can throw it away
📌 راجع قاعدة Correct the form of the verb في الكتاب المدرسي"
1,0,10,ch1-p00-050,An average of eight hours a night is about right. (Use an Imperative to give advice),Use an Imperative to give advice,Get enough steep,You should get enough steep.,Please get enough steep.,Don't forget to get enough steep.,Get enough steep,1,True,3,"✅ Imperative = أمر مباشر
📌 الشكل: ابدأ بالفعل مباشرة بدون subject
❌ لا تكتب You should أو Please
🔑 الجواب: Get enough steep"
1,0,11,ch1-p00-051,.............And brush your teeth three times a day. (Use an imperative to give advice),Use an imperative to give advice,See the dentist for regular checkups,You should see the dentist for regular checkups.,Please see the dentist for regular checkups.,Don't forget to see the dentist for regular checkups.,See the dentist for regular checkups,1,True,3,"✅ Imperative = أمر مباشر
📌 الشكل: ابدأ بالفعل مباشرة بدون subject
❌ لا تكتب You should أو Please
🔑 الجواب: See the dentist for regular checkups"
