id,chapterno,part,question_number,question_text,question_type,option_a,option_b,option_c,option_d,correct_answer,explanation,created_at
010440dd-6e41-4dd1-9eed-5d5de59a6b3a,3,4,6,الأجسام الدهنية في الضفدع,,في الجزء الخلفي من الجسم بعيداً عن المناسل,في منتصف الجسم على جانبي العمود الفقري,في التجويف البطني قرب الكلى,قرب النهاية الأمامية لمناسل الذكر والأنثى في الضفدع,d,الجواب: قرب النهاية الأمامية لمناسل الذكر والأنثى في الضفدع,2026-02-27 15:17:11.882371+00
01094e36-efa1-4e92-939b-f5fda2d8ac91,2,5,1,الصفيحات الدموية,,تلعب دوراً أساسياً في الحماية من الإصابات المرضية بشكل عام ضمن السياق في أغلب الحالات كمفهوم على سبيل المثال,تحرر أنزيم ثرومبوبلاستين الذي يلعب دوراً في عملية تخثر الدم وتحتوي على السيروتونين الذي يساعد في تقلص الأوعية الدموية الصغيرة,نقل الغازات التنفسية من الرئتين إلى خلايا الجسم بشكل عام ضمن السياق في أغلب الحالات كمفهوم على سبيل المثال,تسبح فيها مكونات الدم الأخرى بشكل عام ضمن السياق في أغلب الحالات كمفهوم على سبيل المثال بشكل عام ضمن السياق,b,الجواب: تحرر أنزيم ثرومبوبلاستين الذي يلعب دوراً في عملية تخثر الدم وتحتوي على السيروتونين الذي يساعد في تقلص الأوعية الدموية الصغيرة,2026-02-27 15:17:11.882371+00
012eb40c-b6a3-4744-b435-2bf87f6404b3,3,4,16,تجميع البيوض قبل طرحها في الضفادع,,القناتان البوليتان التناسليتان,مسراق المبيض المرتبط بجدار الجسم,كيس البيض,غدد في بطانة قناة البيض,c,الجواب: كيس البيض,2026-02-27 15:17:11.882371+00
01413c70-047a-4257-a2db-7f3e57ea5bbf,2,2,14,الأنابيب المنخلية والخلايا المرافقة في اللحاء,,نقل الماء والمعادن والخزن والإسناد والتقوية بشكل عام ضمن السياق في أغلب الحالات,نقل الجزيئات العضوية داخل جسم النبات ونقل الكربوهيدرات من وإلى الأنابيب المنخلية,البناء الضوئي والخزن والتنفس وإسناد مرن بشكل عام ضمن السياق في أغلب الحالات,إنتاج خلايا جديدة تضيف للنبات طولاً وسمكاً بشكل عام ضمن السياق في أغلب الحالات,b,الجواب: نقل الجزيئات العضوية داخل جسم النبات ونقل الكربوهيدرات من وإلى الأنابيب المنخلية,2026-02-27 15:17:11.882371+00
0182cc21-15cb-4238-8d46-3c91809b95fb,1,4,1,الصفيحة الخلوية,,الجسيمات الحالة,الدكتيوسوم,بروتوبلاست الخلية النباتية,الشبكة البلازمية الملساء,c,الجواب: بروتوبلاست الخلية النباتية,2026-02-27 15:17:11.882371+00
027274cf-b1e0-4244-b566-f472a35b08ab,4,1,10,الخصى في الرميح,,على السطح الظهري في الجزء الخلفي,في التجويف الجسمي قرب الكلى,في الجزء الأمامي من الجسم قرب القلب,على جانبي السطح البطني في الجسم,d,الجواب: على جانبي السطح البطني في الجسم,2026-02-27 15:17:12.370442+00
0287a633-770e-4050-9ac5-bd39f6ca6135,1,1,7,المحتويات غير الحية,,الفجوة المتقلصة,الجسيمات الحالة,الشبكة البلازمية الملساء,نشاط عضيات الخلية,d,الجواب: نشاط عضيات الخلية,2026-02-27 15:17:11.882371+00
02afac35-8f32-4679-ac9d-cf23188d3c32,3,2,17,السويداء,,في قشرة الثمرة الخارجية,في البذرة,في الكيس الجنيني قبل الإخصاب,في جدار المبيض الداخلي,b,الجواب: في البذرة,2026-02-27 15:17:11.882371+00
056048a8-5d8e-4f82-97cb-0fd8247e1140,2,1,5,الخلية البلازمية,,مسؤولة عن تكوين جميع أنواع الألياف في النسيج الضام,التهام الأجسام الغريبة ضمن النسيج دفاعياً,تكوين الأجسام المضادة وتلعب دوراً مهماً في حماية الجسم من الإصابات,خزن الدهون لتوليد الطاقة وحماية الفرد,c,الجواب: تكوين الأجسام المضادة وتلعب دوراً مهماً في حماية الجسم من الإصابات,2026-02-27 15:17:11.882371+00
05b98191-e547-4382-8732-06786ed68fb5,2,1,18,النسيج المرستيمي,,في قمم الجذور والسيقان فقط,في أجزاء النبات ذات النشاط الانقسامي الخلوي العالي,في الجذور والسيقان والأوراق ممثلاً بالقشرة,في أجزاء النبات المختلفة التي تحوي الخشب,b,الجواب: في أجزاء النبات ذات النشاط الانقسامي الخلوي العالي,2026-02-27 15:17:11.882371+00
