chapterno,stageno,blockno,questioncode,questiontext,question_requirement,optiona,optionb,optionc,optiond,correctanswer,repeatcount,isgolden,repeatcount_ministerial,explanation
1,29,1,ch1-st29-b1,(clean) my room and I (find) E30 under my bed. (Put one verb in the past continuous and one in the past simple),Correct the verb,I was cleaning my room and I found E30 under my bed,cleaned,cleans,is cleaning,I was cleaning my room and I found E30 under my bed,5,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: I was cleaning my room and I found E30 under my bed"
1,29,2,ch1-st29-b2,"Luckily, Sharifa didn't drive very fast. The child ran into the road. (Join use: whe",Correct the verb,"Luckily, Sharifa wasn't driving very fast when the child ran into the road","Luckily, Sharifa wasn't driving very fast when the child ran into the road every day.","Luckily, Sharifa wasn't driving very fast when the child ran into the roads",had road,"Luckily, Sharifa wasn't driving very fast when the child ran into the road",5,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: Luckily, Sharifa wasn't driving very fast when the child ran into the road"
1,29,3,ch1-st29-b3,Khalid (play) football when he broke his ankle. (Correct),Correct,played,was playing,plays,is playing,was playing,5,False,2,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was playing"
1,29,4,ch1-st29-b4,We were speeding when we (see)the police car. (correct),correct,sees,is seeing,was seeing,saw,saw,5,False,1,"✅ Past Simple = فعل انتهى في الماضي
📌 مع when = الحدث القاطع يكون Past Simple
🔑 الجواب: saw"
1,29,5,ch1-st29-b5,I (sit) in the park when someone kicked a ball at me.,Correct the verb,was sitting,sat,sits,is sitting,was sitting,5,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was sitting"
1,29,6,ch1-st29-b6,"As he was running, he……………….(fall) down. (Put the verb in the correct form)",Put the verb in the correct form,falls,fell,is falling,was falling,fell,5,False,2,"✅ Past Simple = فعل انتهى في الماضي
📌 مع when = الحدث القاطع يكون Past Simple
🔑 الجواب: fell"
1,29,7,ch1-st29-b7,They …………. in the desert when they …………. a large snake . (camp / see),Correct the verb,were camping,camped,camps,is camping,were camping,5,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: were camping"
1,29,8,ch1-st29-b8,"While my baggage (go) through the X-ray machine, I walked through the metal detector. (correct)",correct,went,goes,is going,was going,was going,5,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was going"
1,29,9,ch1-st29-b9,She told us to be quiet as we ................ (make) too much noise. (Correct the form of the verb),Correct the form of the verb,made,makes,is making,were making,were making,5,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: were making"
1,29,10,ch1-st29-b10,My cousin hid my purse under the stair while I ............. (not / look)[Put the verb in the correct,Correct the verb,was looking,didn't look,wasn't looking,isn't looking,wasn't looking,5,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: wasn't looking"
